DSO Name;DSO Code;Coding Scheme;Country
Söderhamn Elnät AB;34500;NSE;SE
Södra Hallands Kraft ekonomisk förening;34600;NSE;SE
Sollentuna Elnät AB;33500;NSE;SE
Sölvesborgs Elnät AB;34700;NSE;SE
Sörbylunds Elnät AB;51400;NSE;SE
Staffanstorps Energi AB;33800;NSE;SE
Stensjön Kraft AB;15800;NSE;SE
Sturefors Eldistribution AB;47000;NSE;SE
Sundsvall Elnät AB;11800;NSE;SE
Svenska kraftnät;10000;NSE;SE
Swedavia AB;66340;NSE;SE
Tekniska verken i Katrineholm Nät AB;51900;NSE;SE
Tekniska verken Linköping Nät AB;11900;NSE;SE
Telge Elnät AB;34800;NSE;SE
Tibro Energi AB;51600;NSE;SE
Tidaholms Elnät AB;66200;NSE;SE
Töre Energi ek för;35800;NSE;SE
Tranås Energi Elnät AB;35320;NSE;SE
Trelleborg Elnät AB;35400;NSE;SE
Trollhättan Energi Elnät AB;50800;NSE;SE
Uddevalla Energi Elnät AB;36010;NSE;SE
Ulricehamn Energi Elnät AB;36100;NSE;SE
Umeå Energi Elnät AB;14300;NSE;SE
Upplands Energi;17800;NSE;SE
Vaggeryds Elverk;36400;NSE;SE
Vallebygdens Energi ek för;36500;NSE;SE
VänerEnergi AB;27400;NSE;SE
Vara Energi ek.för;41800;NSE;SE
Varberg Energi Elnät AB;36800;NSE;SE
Varbergsortens Elnät AB;36900;NSE;SE
Värnamo Elnät AB;38600;NSE;SE
Västerbergslagens Elnät AB;38700;NSE;SE
Västerviks Kraft Elnät AB;38800;NSE;SE
Västra Orusts Energitjänst ek. för.;39100;NSE;SE
Vattenfall Eldistribution AB;16400;NSE;SE
Vattenfall Kraftgården AB;16405;NSE;SE
Växjö Energi Elnät AB;39200;NSE;SE
Vimmerby Energi Nät AB;37920;NSE;SE
Vindpark Vänern Drift AB;65800;NSE;SE
Ystad Elnät AB;40800;NSE;SE
