DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
Vaggeryds Elverk;Vaggeryd;VGD;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Vagnhärad;VAG;DISTRIBUTION;SE3;SE
Ellevio AB;Vålberg-Segerstad;VLB;DISTRIBUTION;SE3;SE
Vallebygdens Energi ek för;Vallebygden;VAB;DISTRIBUTION;SE3;SE
Ellevio AB;Vallentuna;VAT;DISTRIBUTION;SE3;SE
Ellevio AB;Vansbro;VNB;DISTRIBUTION;SE3;SE
Vara Energi ek.för;Vara;VAR;DISTRIBUTION;SE3;SE
Varberg Energi Elnät AB;Varberg;VBG;DISTRIBUTION;SE3;SE
Varbergsortens Elnät AB;Varbergsorten Norra;VBN;DISTRIBUTION;SE3;SE
Varbergsortens Elnät AB;Varbergsorten Södra;VBS;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Värmdö;VMD;DISTRIBUTION;SE3;SE
Ellevio AB;Värmland;VAL;DISTRIBUTION;SE3;SE
Ellevio AB;Värmland region;VML;REGIONAL;SE3;SE
Värnamo Elnät AB;Värnamo;VMO;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Värö region;VRO;REGIONAL;SE3;SE
Holmen Energi Elnät;Varsvik;VIK;REGIONAL;SE3;SE
Västerbergslagens Elnät AB;Västanfors;VAS;REGIONAL;SE3;SE
Vattenfall Eldistribution AB;Västanhede;VAD;DISTRIBUTION;SE3;SE
Västerbergslagens Elnät AB;Västerbergslagen;VBL;DISTRIBUTION;SE3;SE
Västerbergslagens Elnät AB;Västerbergslagen Regionalnät;VBR;REGIONAL;SE3;SE
Sala-Heby Energi Elnät AB;Västerbykil;VBK;DISTRIBUTION;SE3;SE
Västerviks Kraft Elnät AB;Västervik;VVI;DISTRIBUTION;SE3;SE
Mälarenergi Elnät AB;Västmanland Södra;VLS;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Västsverige region;VFV;REGIONAL;SE3;SE
Vattenfall Eldistribution AB;Vätterbygden;VAN;DISTRIBUTION;SE3;SE
Växjö Energi Elnät AB;Växjö;VXO;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Vedum;VDM;DISTRIBUTION;SE3;SE
Njudung Vetlanda Elnät AB;Vetlanda;VTL;DISTRIBUTION;SE3;SE
Näckåns Elnät AB;Viggafors;VGF;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Vilhelmina;VMA;DISTRIBUTION;SE2;SE
Vimmerby Energi Nät AB;Vimmerby;VBY;DISTRIBUTION;SE3;SE
Skellefteå Kraft Elnät AB;Vindeln;VDN;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Vingåkersbygden;VIG;DISTRIBUTION;SE3;SE
Ystad Elnät AB;Ystad;YST;DISTRIBUTION;SE4;SE
