Status,Aktör,SvK Id,Ediel Id,EIC,Roll,Adress
Godkänd,Skövde Energi Elnät AB,423,42300,46X000000000317L,Nätägare,"Box 128, 541 23 Skövde"
Godkänd,Skånska Energi Nät AB,123,33000,46X000000000316N,Nätägare, ESP,"Box 83, 24722 SÖDRA SANDBY"
Godkänd,Skyllberg Elnät AB,288,32900,46X000000000233R,Nätägare,"Skyllbergsvägen 11, 694 99 Skyllberg"
Godkänd,Skurups Elverk AB,258,32800,46X000000000315P,Nätägare, ESP,"Mårtensgatan 3, 27435 SKURUP"
Godkänd,Skellefteå Kraft Elnät AB,013,10600,46X000000000314R,Nätägare,"Box 802, 93180 SKELLEFTEÅ"
Godkänd,Skara Elnät AB,170,32500,46X000000000232T,Nätägare, ESP,", 53288 SKARA"
Godkänd,Sjöbo Elnät AB,122,32400,46X000000000313T,Nätägare,"Ommavägen 26, 275 39 SJÖBO"
Godkänd,Sjogerstads Elektriska Distributionsförening,293,32300,,Nätägare, ESP,"Box 66, 54122 SKÖVDE"
Godkänd,Sjisjka Nät AB,523,52300,46X000000000312V,Nätägare,"c/o O2, Box 2299, 10317 Stockholm"
Godkänd,Sidensjö Vindkraft Elnät AB,528,52800,46X000000000311X,Nätägare,"c/o Nordisk Vindkraft AB, Lilla Bommen 1, 411 04 Göteborg"
Godkänd,SEVAB Nät AB,197,41700,46X000000000310Z,Nätägare,"Vältstigen 1, 64541 STRÄNGNÄS"
Godkänd,Sandviken Energi Elnät AB,119,31900,46X000000000309K,Nätägare,"Box 91, 81121 SANDVIKEN"
Godkänd,Sandhult-Sandareds Elnät AB,287,31800,46X000000000308M,Nätägare,"Hagavägen 11, 51840 SJÖMARKEN"
Godkänd,Sala-Heby Energi Elnät AB,183,31600,46X000000000307O,Nätägare,"Box 34, 73321 SALA"
Godkänd,Rödeby Elverk ek för,286,31500,,Nätägare, ESP,"Karlskronavägen 38, 373 43 Rödeby"
Godkänd,Ronneby Miljöteknik Elnät AB,118,31100,46X000000000231V,Nätägare,"Stadshuset, 37280 RONNEBY"
Godkänd,Pite Energi Elnät AB,256,30800,46X000000000230X,Nätägare,"Box 738, 94128 PITEÅ"
Godkänd,Partille Energi Nät AB,296,51500,46X000000000306Q,Nätägare,"Box 53, 40120 Göteborg"
Godkänd,Oxelö Energi AB,255,30600,,Nätägare,"Höjdgatan 24, 61381 OXELÖSUND"
Godkänd,Ovako Sweden AB,285,44600,46X000000000305S,Nätägare,", 813 82 HOFORS"
Godkänd,Oskarshamn Energi Nät AB,116,30500,46X000000000304U,Nätägare,"Box 564, 57226 OSKARSHAMN"
Godkänd,Olseröds Elektriska Distributionsförening,060,30300,,Nätägare,"Sockenvägen 127, 29795 DEGEBERGA"
Godkänd,Olofströms Kraft Nät AB,031,30200,46X000000000303W,Nätägare,"Box 303, 29324 OLOFSTRÖM"
Under test,Nätkraft Borås Infra AB,086,11100,46X000000000229I,Nätägare,"Box 1714, 50117 BORÅS"
Godkänd,Nässjö Affärsverk Elnät AB,309,10300,46X000000000302Y,Nätägare,"Tullgatan 2, 57180 NÄSSJÖ"
Godkänd,Näckåns Elnät AB,252,29800,46X0000000003001,Nätägare, ESP,"Näckån 4, 68060 SYSSLEBÄCK"
Godkänd,Nybro Elnät AB,115,29500,46X000000000299Y,Nätägare,"Dunderbergsgatan 2, 38280 NYBRO"
Godkänd,Nossebroortens Energi ek för,284,29300,46X000000000371F,Nätägare, ESP,"Liljegatan 15, 46530 NOSSEBRO"
Godkänd,Norrtälje Energi AB,114,29000,46X000000000370H,Nätägare, Ombud,"Box 216, 76123 NORRTÄLJE"
Godkänd,Njudung Vetlanda Elnät AB,266,37700,46X0000000002971,Nätägare,"Box 154, 57422 VETLANDA"
Godkänd,Njudung Sävsjö Elnät AB,127,34400,46X000000000228K,Nätägare,"Box 172, 57624 SÄVSJÖ"
Godkänd,Nacka Energi AB,074,28500,46X0000000003692,Nätägare,"Box 753, 13124 NACKA"
Godkänd,Mölndal Energi Nät AB,112,28300,46X0000000002963,Nätägare,"Box 34, 43121 MÖLNDAL"
Under test,Mälarenergi Elnät AB,393,39300,46X0000000002955,Nätägare,"Box 924, 73129 KÖPING"
Under test,Mälarenergi AB,VEV,40100,46X000000000132X,Nätägare, Leverantör, Balansansvarig part (BRP), Leverantör av balanstjänster (BSP),"Box 14, 72103 VÄSTERÅS"
Godkänd,Mjölby Kraftnät AB,110,27700,46X0000000002947,Nätägare,"Box 510, 59529 MJÖLBY"
Godkänd,Mellersta Skånes Kraft ek för,247,27600,46X0000000003684,Nätägare, ESP,"Landsvägen 77, 24372 TJÖRNARP"
Godkänd,Markbygden Net Väst AB,529,52900,46X0000000002939,Nätägare,"Jägershillsgatan 18, 213 75 Malmö"
Godkänd,Markbygden Net AB,693,15200,46X000000000292B,Nätägare,"c/o BGC, BGC-id CDP1014, 106 43 Stockholm"
Godkänd,Marhult Nät AB,350,13500,46X000000000291D,Nätägare,"c/o OX2, Box 2299, 103 17 Stockholm"
Godkänd,Malung-Sälens Elnät AB,246,27300,46X000000000290F,Nätägare,"Box 4, 78221 MALUNG"
Godkänd,Luleå Energi Elnät AB,LUL,11600,46X0000000002890,Nätägare, ESP,"Box 50100, 97323 LULEÅ"
Godkänd,LKAB Nät AB,294,13800,46X0000000002882,Nätägare,"FK10, 98186 KIRUNA"
Godkänd,Ljusdal Elnät AB,210,26500,46X0000000002874,Nätägare,"Björkhamrevägen 2A, 82735 LJUSDAL"
Godkänd,Ljungby Energinät AB,106,26400,46X0000000002866,Nätägare,"Box 262, 34125 LJUNGBY"
Godkänd,Linde Energi Elnät AB,243,26300,46X000000000227M,Nätägare,"Box 77, 71122 LINDESBERG"
